buyer_name_clean,ocid,level1,start_date,end_date,co2_pm
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-286f2f72-20e9-400d-82be-45bc1b5cb0a3,Central Government,2014-11-28,2021-09-30,23.9779507803121248
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-ce567691-b27f-4259-8690-93c1d43c0c8f,Central Government,2014-12-09,2021-09-30,3.4024180524272508
HOME OFFICE,ocds-0c46vo-0001-601ea978-2e12-4202-bdcc-26b00bff674b,Central Government,2015-01-21,2024-04-30,0.0025656683961038961
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-8866adf1-9472-4889-85af-22691a32f330,Central Government,2015-03-31,2022-09-20,4.7282794676462834
HOME OFFICE,ocds-0c46vo-0001-fe58cea4-285c-4bf8-8d49-5a0a9307f975,Central Government,2015-09-09,2024-02-19,0.00336495832145171743
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-8c361e61-2fbb-43ff-917e-59d4ea212961,Central Government,2015-10-26,2024-09-30,4.0371096877860864
HOME OFFICE,ocds-0c46vo-0001-1be69ad0-c7e0-4626-93d9-2c9b718369b1,Central Government,2015-12-09,2024-12-31,112.8568890063424947
HOME OFFICE,ocds-0c46vo-0001-992fa62e-cc91-4354-b21e-6edb65885277,Central Government,2015-12-09,2024-12-31,82.7065992449411054
HOME OFFICE,ocds-0c46vo-0001-ec306aa8-af22-4719-a47d-f02d763dd8d4,Central Government,2015-12-09,2024-12-31,112.8568890063424947
MINISTRY OF JUSTICE,ocds-0c46vo-0001-de8427a0-3a9b-4bba-baa4-4f89e1c1e25d,Central Government,2016-02-25,2023-12-20,2.7892460411817647
DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,ocds-0c46vo-0001-7fcc856b-35b6-4799-9cf6-cd3da11a35d7,Central Government,2016-03-07,2023-03-06,4.6882844329629108
HOME OFFICE,ocds-0c46vo-0001-e013b863-2d07-45eb-8796-9d1ff7487bb6,Central Government,2016-03-16,2023-03-15,0.57120563380281690162
CARE QUALITY COMMISSION,ocds-0c46vo-0001-97c516c8-c300-4788-af5a-d545af871dee,Central Government,2016-07-28,2022-10-31,0.46058757296458242237
MINISTRY OF JUSTICE,ocds-0c46vo-0001-6c72245c-9bab-435b-8d94-4791e6dc8fee,Central Government,2016-08-30,2023-08-30,0.02141183418068048493
NHS ENGLAND (DESIGNATED AS NHS COMMISSIONING BOARD),ocds-0c46vo-0001-cda5fa3f-45fb-49d6-b5d4-92ae1a09807b,Central Government,2016-09-01,2022-08-31,9.5714674609703332
WALSALL HOSPITALS NFT,ocds-0c46vo-0001-9e1d917f-cc90-4e5b-ada3-398536f7ab1f,NHS,2016-09-05,2023-09-04,0.02295926772732394367
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-476d21d8-f798-4aed-9952-34460126bc79,Central Government,2016-09-29,2021-09-29,0.18399855960591132999
DEPARTMENT OF HEALTH,ocds-0c46vo-0001-65b99052-65c1-494a-897d-9ef8efc3ca47,Central Government,2016-10-18,2021-11-06,1.2178405094106176
HOME OFFICE,ocds-0c46vo-0001-19da4bc5-08ca-4724-8ef9-c9fece41f0bd,Central Government,2016-10-23,2021-10-22,0.21987975903614457815
HOME OFFICE,ocds-0c46vo-0001-c53a0687-0aa6-4033-a482-7ee25f643ac5,Central Government,2016-10-24,2021-10-23,0.24236746166484118274
"ROYAL BOTANIC GARDENS, KEW",ocds-0c46vo-0001-3a8897ef-e660-49a0-b236-b4254b4b711a,Central Government,2016-11-01,2021-10-31,6.9961741511500548
HOME OFFICE,ocds-0c46vo-0001-6d6ad83a-800b-41dd-9291-3d39d6ee69ea,Central Government,2016-12-12,2021-12-11,0.30233466867469879496
HOME OFFICE,ocds-0c46vo-0001-d7a1b0c0-a202-4b67-a750-23fa04ced9d6,Central Government,2016-12-15,2021-12-14,4.019129144388828
THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,ocds-0c46vo-0001-0805f8c5-34e7-4a52-a8bc-c186c31ef294,NHS,2016-12-21,2021-12-20,0.01456353594906900328
EQUALITY AND HUMAN RIGHTS COMMISSION,ocds-0c46vo-0001-809dd221-2148-4771-86c4-4054a1a0d23c,Central Government,2016-12-22,2021-12-21,0.13406553976508214667
THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,ocds-0c46vo-0001-4931d228-1ae8-4b7b-988f-dcaf160f0bca,NHS,2017-01-01,2021-12-31,0.058131211021905805
HOME OFFICE,ocds-0c46vo-0001-cfb6f17d-7c17-44eb-8036-ae8f2cd233c1,Central Government,2017-01-30,2022-01-29,0.48473492332968236548
HOME OFFICE,ocds-0c46vo-0001-f5fc1ba1-36fc-429c-9b23-1efd4088ccfb,Central Government,2017-02-14,2022-02-13,0.67792094646768893708
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ocds-0c46vo-0001-d808fb02-7a0c-4b1e-8325-971d33cf1dcf,NHS,2017-02-16,2022-02-15,0.55969393209200438076
MINISTRY OF JUSTICE,ocds-0c46vo-0001-42ca5469-2e90-437a-b0c3-e1b5ee1d6594,Central Government,2017-02-18,2022-02-17,0.66630230010952902471
MINISTRY OF JUSTICE,ocds-0c46vo-0001-99756e17-a240-4370-a913-746bec5d94a0,Central Government,2017-02-20,2022-02-16,20.8879053876302798
HOME OFFICE,ocds-0c46vo-0001-bd61ee32-73f2-4009-9bd2-9721e9d62774,Central Government,2017-02-28,2022-02-27,2.8358337279676889
HOME OFFICE,ocds-0c46vo-0001-d82f8199-a2ac-49cb-b201-7b4cea830911,Central Government,2017-04-01,2022-03-31,0.000000333151150054764512
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",ocds-0c46vo-0001-7e1503ac-9ff5-435f-a6a8-65eebcad1902,NHS,2017-04-01,2022-03-31,1.3117826533406353
THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,ocds-0c46vo-0001-60950910-c9ff-46f9-b712-e3d3da6e6770,NHS,2017-04-01,2022-03-31,0.09635714055476451253
MARITIME AND COASTGUARD AGENCY,ocds-0c46vo-0001-787e7383-f311-4ffc-a4ff-b3e05b6c410c,Central Government,2017-04-01,2022-03-31,0.2401673314698795179
HOME OFFICE,ocds-0c46vo-0001-55230c48-4215-4792-b958-f6afa050ca61,Central Government,2017-04-18,2022-04-17,0.43975951807228915631
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-abeb4ff3-0b43-4e35-9ae4-0e46afb3c25f,Central Government,2017-04-24,2022-09-30,3.3743763187885196
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-aff5c51c-3791-4bcd-aee9-08bfb8530cdd,NHS,2017-05-24,2024-05-22,0.0465651592723004695
MINISTRY OF DEFENCE,ocds-0c46vo-0001-4e967d62-29c9-4d53-8649-e3c41b9562a1,Central Government,2017-06-01,2027-05-31,2.3767417818088719
THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,ocds-0c46vo-0001-0b4d8f3d-69ba-489e-b8f6-91b141a64da1,NHS,2017-06-02,2022-06-01,0.02565197225191675792
MINISTRY OF JUSTICE,ocds-0c46vo-0001-4205e278-6ae7-4fd5-85cc-f41d597272e2,Central Government,2017-06-30,2022-06-30,16.9814088669950739
NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,ocds-0c46vo-0001-467727ff-2b76-4419-862c-1e02c7df51bb,NHS,2017-07-01,2022-06-30,580.4128080013209196
DEPARTMENT OF HEALTH,ocds-0c46vo-0001-1a83c6dd-8b5b-4ac4-8054-8d75e3f1f365,Central Government,2017-07-07,2022-07-07,0.29967192118226600975
DEPARTMENT OF HEALTH,ocds-0c46vo-0001-d6af405a-afd6-48b4-bf04-e6944dd95f5a,Central Government,2017-08-14,2022-08-14,1.6648440065681445
HOME OFFICE,ocds-0c46vo-0001-7d3457a3-3cf1-469a-81bd-cebb8c7c6a4d,Central Government,2017-09-01,2022-02-28,97.2519336175395859
EQUALITY AND HUMAN RIGHTS COMMISSION,ocds-0c46vo-0001-e7e5f195-d2de-40c1-bd7b-615c349efad7,Central Government,2017-09-01,2022-08-31,0.00994477671162650602
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-e4e61896-c0d0-4d4a-bf8c-85e6a43d7929,Central Government,2017-09-04,2021-11-30,5.0144135111659135
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-a38dbaff-5e21-4c0f-9a72-baab56fb6fef,NHS,2017-09-10,2022-09-09,0.05413706188389923326
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-84b414b4-2f74-4c96-979a-f61858da7219,Central Government,2017-09-11,2023-03-31,256.2322005917159763
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-4d695c7a-c144-4e29-a4e5-8f1585d2af46,Central Government,2017-09-11,2023-03-31,168.7316937869822485
EQUALITY AND HUMAN RIGHTS COMMISSION,ocds-0c46vo-0001-d56e166e-781e-49ef-a8fa-5bb044a5654b,Central Government,2017-09-27,2022-10-12,0.01254080871257328991
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-6ac41006-6032-49d6-87fe-20f7af789a97,Central Government,2017-09-28,2022-03-30,0.3183890723234042553
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-dda7fec6-47cb-4234-ad8a-651fd051e535,Central Government,2017-10-01,2021-09-30,0.07494874743326488702
HOME OFFICE,ocds-0c46vo-0001-163a36bb-b634-4f4e-a458-8d9b5a49de11,Central Government,2017-10-02,2024-04-30,0.00914012341647940075
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-710bcc86-887b-454b-be8a-f8cc05112e8a,Central Government,2017-10-03,2024-10-31,233.7841805860672854
"CENTRE FOR ENVIRONMENT FISHERIES, AQUACULTURE & SCIENCE",ocds-0c46vo-0001-f0edf2fe-e13e-41d5-bf17-7e4f0be454dc,Central Government,2017-10-03,2021-10-09,37.9172758855585831
EQUALITY AND HUMAN RIGHTS COMMISSION,ocds-0c46vo-0001-cb0e61f1-f112-49c1-bc60-907093582fad,Central Government,2017-10-09,2021-10-08,0.16905784235285420934
EQUALITY AND HUMAN RIGHTS COMMISSION,ocds-0c46vo-0001-ee06c105-29cb-4f05-9a55-85d817854575,Central Government,2017-10-09,2021-10-08,0.07710116095451745375
HIGHWAYS AGENCY,ocds-0c46vo-0001-2eee0b7d-2da1-4d4b-9c53-3affed7f940e,Central Government,2017-10-26,2021-10-30,95.3470178594815825
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-811fd096-c018-48d4-86e2-16f094a1e89b,Central Government,2017-10-31,2021-10-31,1.3731205198358413
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-04f2e564-2225-438a-9b8c-c49f7c5b597d,Central Government,2017-11-01,2021-12-31,0.59954073587385019757
MINISTRY OF JUSTICE,ocds-0c46vo-0001-453fb31d-e00e-43fb-b7d2-413c3216a765,Central Government,2017-11-10,2021-11-09,18.1126139630390144
EQUALITY AND HUMAN RIGHTS COMMISSION,ocds-0c46vo-0001-40a86c08-086e-4899-ac4f-cbbf97100d61,Central Government,2017-11-13,2021-11-12,0.07807161190965092398
GOVERNMENT LEGAL DEPARTMENT,ocds-0c46vo-0001-531cbef6-3179-45ab-b05a-cd8aee473ab3,Central Government,2017-11-20,2022-10-31,0.14304430313591588275
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-172161ba-afaf-4020-847c-2909295e9d5c,Central Government,2017-11-21,2021-11-19,0.01562501712328767125
CABINET OFFICE,ocds-0c46vo-0001-264ce9bb-7695-4a66-8434-e2bc00ec7fea,Central Government,2017-11-27,2021-11-26,1.2491457905544148
CABINET OFFICE,ocds-0c46vo-0001-42ddf2ac-fb95-4139-a4a9-eafb9970fc72,Central Government,2017-11-27,2021-11-26,12.4914579055441478
MINISTRY OF DEFENCE,ocds-0c46vo-0001-cb07c848-b768-4c47-89e9-b893f6267070,Central Government,2017-12-01,2021-11-30,246.5275008305002668
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-74f46bbc-bab7-434d-9ac8-1bcf481bc32c,Central Government,2017-12-01,2022-11-30,0.01711064306681270535
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-fe69ca3d-82ca-4a46-afaa-b348920c75c0,Central Government,2017-12-04,2021-12-03,24.8330183162217659
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-c8679e1d-460d-4e8f-9b0f-d755e1a0b195,Central Government,2017-12-08,2023-10-31,38.5372584968802228
MINISTRY OF JUSTICE,ocds-0c46vo-0001-c8faa2b2-4755-4cb1-86f6-fda1fce27c93,Central Government,2017-12-08,2022-11-21,1.6951845326883978
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-03149831-aea6-4230-91a6-402056904893,Central Government,2017-12-12,2022-12-11,1.4991801752464403
"ROYAL BOTANIC GARDENS, KEW",ocds-0c46vo-0001-d78792ac-396b-4ffb-8ed4-01af645ce148,Central Government,2017-12-15,2021-12-14,0.04580201232032854207
DRIVER AND VEHICLE LICENSING AGENCY,ocds-0c46vo-0001-97bda3d9-eb40-4c3f-8c0c-9ab80fa3f2db,Central Government,2017-12-19,2022-12-18,0.41502506740820372369
MINISTRY OF DEFENCE,ocds-0c46vo-0001-671edc56-2090-4023-8933-25c2c2f9c50a,Central Government,2017-12-29,2022-12-28,4.1386677748422782
NATIONAL HERITAGE MEMORIAL FUND,ocds-0c46vo-0001-a772d01e-625b-4362-b857-291450054e5e,Central Government,2017-12-31,2022-01-31,0.01014569095780308104
NATIONAL HERITAGE MEMORIAL FUND,ocds-0c46vo-0001-14bbbe8a-69df-4b25-a5b7-cc50db8cc1d7,Central Government,2017-12-31,2022-01-31,0.01357322318017414601
TRINITY HOUSE,ocds-0c46vo-0001-731a3efe-8193-4ec7-bab6-84733c904f3b,Central Government,2018-01-01,2024-12-31,0.02832785662104028156
HOME OFFICE,ocds-0c46vo-0001-ec4c0573-5f95-462f-8b0e-2d0fb21d9110,Central Government,2018-01-01,2022-12-31,0.99945345016429353707
MINISTRY OF DEFENCE,ocds-0c46vo-0001-f7a456db-9c50-43d3-b12b-26e3ca03c53a,Central Government,2018-01-01,2023-12-31,1.3327262437243268
MINISTRY OF JUSTICE,ocds-0c46vo-0001-970652dc-354f-4315-984f-b923477ebf95,Central Government,2018-01-01,2022-12-31,0.04997267250821467685
COMPETITION AND MARKETS AUTHORITY,ocds-0c46vo-0001-57108a94-e209-4e2e-bd80-0b6c1a567e4e,Central Government,2018-01-01,2021-12-31,0.0155893394661190965
MINISTRY OF DEFENCE,ocds-0c46vo-0001-b6b99362-54f5-4208-8b50-e046d382a46d,Central Government,2018-01-01,2021-12-31,0.02741227952747433263
COAL AUTHORITY,ocds-0c46vo-0001-a16608fc-b114-4404-b807-98fb12634e11,Central Government,2018-01-04,2022-01-03,1.2491457905544148
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-82344590-f0a9-4183-aa6b-1dc03edaa197,NHS,2018-01-04,2025-01-03,1.5419494475948377
DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,ocds-0c46vo-0001-1049d105-35af-4873-be34-41316cfeacf8,Central Government,2018-01-08,2022-03-31,25.893200871761658
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-42e7fab2-1ebd-42e9-b8dd-d5223fb8c7d0,Central Government,2018-01-10,2022-03-31,0.12351604462276264588
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-64b13d01-e694-4e6b-aca9-939f712525b0,Central Government,2018-01-11,2022-06-30,0.51838667409926470593
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST ,ocds-0c46vo-0001-87924480-af66-4809-a2f7-01ee13f1d494,NHS,2018-01-12,2024-01-11,0.02280211307622090371
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-4223761c-8b87-40e9-8e61-f9ee74b8bf09,Central Government,2018-01-15,2023-01-14,0.10144452519167579401
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-95ed03d1-038a-41d8-b2c0-8834b37f2e7d,Central Government,2018-01-15,2023-01-14,0.10194425191675794078
HOMES AND COMMUNITIES AGENCY,ocds-0c46vo-0001-5774f35e-726d-45d2-839f-8689dfdde871,Central Government,2018-01-16,2022-01-14,0.51712140004109589092
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-a1b28d11-67b5-4bd6-a5d7-ff96c07303fe,Central Government,2018-01-17,2024-01-15,4166.67123287671233
STUDENT LOANS COMPANY LIMITED,ocds-0c46vo-0001-512a76fd-486f-4eaf-a0a7-0b8bdfb1444a,Central Government,2018-01-20,2022-01-19,0.04982786346960985623
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST ,ocds-0c46vo-0001-677d47aa-8837-4912-9c96-34b244d3533e,NHS,2018-01-22,2023-01-21,0.11102511938937568448
MINISTRY OF JUSTICE,ocds-0c46vo-0001-00ca6ab0-6376-4fef-8ebb-27481ce56e6c,Central Government,2018-01-22,2023-01-21,3.6773223943044907
MINISTRY OF JUSTICE,ocds-0c46vo-0001-7954215b-5451-4575-9228-c4333d8cc22c,Central Government,2018-01-22,2023-01-21,3.6773223943044907
HIGH SPEED TWO (HS2) LIMITED,ocds-0c46vo-0001-6056ef27-81bf-462e-bdbc-098969db02bd,Central Government,2018-01-24,2028-01-23,79.956276013143483
HOME OFFICE,ocds-0c46vo-0001-6ec6312e-b8ea-4753-a994-14f2114c738e,Central Government,2018-01-25,2022-01-24,3.122864476386037
MINISTRY OF JUSTICE,ocds-0c46vo-0001-48891c0d-6a12-4c26-af29-d11f0a1681e6,Central Government,2018-01-25,2022-03-31,0.71709312377210216039
MINISTRY OF DEFENCE,ocds-0c46vo-0001-8ec99c1c-63f5-4cb1-b7d8-561fcb67291b,Central Government,2018-01-26,2022-06-30,0.11286345083487940624
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-43a09337-2a17-441f-9824-339dfedb506f,Central Government,2018-01-30,2021-12-31,0.15064215199353351962
MINISTRY OF DEFENCE,ocds-0c46vo-0001-7c40f277-a2fd-4821-9d8e-9fade04ecc8e,Central Government,2018-01-31,2022-08-31,0.16062343369175627254
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-5d35edfe-bb58-4871-b785-f0ecbdab6eda,NHS,2018-01-31,2023-01-30,0.00291507256297918948
MINISTRY OF DEFENCE,ocds-0c46vo-0001-9bda1c32-6ce2-44be-8912-a5eb557800fc,Central Government,2018-01-31,2023-01-31,0.02297484729064039408
MINISTRY OF DEFENCE,ocds-0c46vo-0001-6f31e3e5-09fa-4e03-9b1d-5bd90fffb4bd,Central Government,2018-01-31,2022-08-31,0.09911229001792114704
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-4d90d04b-6a40-4dd8-ab69-997b061b8eac,Central Government,2018-01-31,2023-01-31,0.14199454532019704429
THE NATIONAL ARCHIVES,ocds-0c46vo-0001-89404380-31db-406c-ab8a-aee4136325a5,Central Government,2018-01-31,2022-03-31,0.07661328799211045367
HM LAND REGISTRY,ocds-0c46vo-0001-17001c8e-682e-4954-9b92-d631ec00a219,Central Government,2018-02-01,2022-01-31,1.9778141683778234
HOME OFFICE,ocds-0c46vo-0001-b58305e2-0d6e-4f5e-b92d-781874137b7f,Central Government,2018-02-01,2022-01-31,2.4982915811088296
NHS BUSINESS SERVICES AUTHORITY,ocds-0c46vo-0001-6c3d0b18-f546-4074-9395-320316ebaf7d,Central Government,2018-02-01,2022-01-31,455.0650606447638601
NHS DONCASTER CCG,ocds-0c46vo-0001-ce2318d1-fe23-4e21-baf4-122880db7b62,NHS,2018-02-01,2023-01-31,1.8097103622124863
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-c5959d91-2491-4b55-a274-d04765f8c620,NHS,2018-02-02,2025-02-01,0.276951012346108721
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-77480686-58ac-44fe-8300-497e1ff4c37a,NHS,2018-02-02,2023-02-01,0.01873975219058050382
UNIVERSITY HOSPITALS OF LEICESTER NFT,ocds-0c46vo-0001-93caf614-8b2b-44ef-b2bb-5a23ef336540,NHS,2018-02-05,2022-02-04,0.18737186858316221754
WATER SERVICES REGULATION AUTHORITY,ocds-0c46vo-0001-45dbd188-3855-4a7c-bd7a-e761b475a642,Central Government,2018-02-06,2022-02-05,10.3575005133470226
MINISTRY OF DEFENCE,ocds-0c46vo-0001-139fad6c-b4a7-4dba-a618-c3c95b1ba933,Central Government,2018-02-08,2022-02-07,0.05204774127310061598
MINISTRY OF DEFENCE,ocds-0c46vo-0001-6f021f4f-286e-4565-923b-91d8a7389f39,Central Government,2018-02-09,2022-02-08,0.03851532854209445583
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ocds-0c46vo-0001-007a2157-5c8b-4c1b-989f-4de2c0664b94,NHS,2018-02-12,2022-02-11,2.7342552209445585
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-a7a4a82b-3e08-4be6-815c-6a708da5691d,NHS,2018-02-14,2023-02-13,0.00414966909211938663
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-e98a168b-a92c-449b-9a8b-830413f4aa06,Central Government,2018-02-14,2022-02-13,0.26065508829568788485
MINISTRY OF JUSTICE,ocds-0c46vo-0001-205719f7-ecaa-406b-9faf-d66ace0aaf60,Central Government,2018-02-14,2022-02-13,9.6861429443942505
MINISTRY OF DEFENCE,ocds-0c46vo-0001-ab6e8127-0d9f-44ff-85f4-2564d7cf095d,Central Government,2018-02-15,2022-06-30,0.19046149029430181598
STUDENT LOANS COMPANY LIMITED,ocds-0c46vo-0001-d9d7b46b-d627-4aa3-a075-abf213c90179,Central Government,2018-02-19,2023-02-18,0.33315115005476451236
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-94295b5f-32ab-41ad-ad6f-f362a6f9894f,Central Government,2018-02-19,2021-09-30,1.3549257272727273
DEPARTMENT FOR TRANSPORT,ocds-0c46vo-0001-cd6f6576-a342-4435-93c1-05850208ead6,Central Government,2018-02-19,2022-02-18,0.00312286447638603696
HOMES ENGLAND,ocds-0c46vo-0001-46344006-cff0-4063-84ff-c4a2550ab272,Central Government,2018-02-20,2023-06-30,0.09619261946857434849
HOME OFFICE,ocds-0c46vo-0001-21319a82-4a57-4b62-8eff-57a320a2328e,Central Government,2018-02-22,2023-02-21,9.3282322015334063
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-7976ef29-1566-4e05-910a-9c5a7ddcfdd5,NHS,2018-03-01,2023-02-28,0.03253387555859802845
NHS BUSINESS SERVICES AUTHORITY,ocds-0c46vo-0001-b1d20e35-a4a1-4c36-83ed-42914fe3d337,Central Government,2018-03-01,2022-02-28,0.000083276386036960985574
CROWN PROSECUTION SERVICE,ocds-0c46vo-0001-6fbe8562-f5a4-40bb-8830-535952bd277c,Central Government,2018-03-01,2022-10-31,0.356584994138335287
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-c1c981f8-c282-41f9-ac1c-e745a3c434a2,Central Government,2018-03-01,2022-02-28,8494.1913757700205286
MINISTRY OF DEFENCE,ocds-0c46vo-0001-c5a78869-c255-499c-ba81-6525a4895ce7,Central Government,2018-03-01,2023-03-31,4.233716361098546
MET OFFICE,ocds-0c46vo-0001-f4329597-fa69-444a-8918-748dddefaddd,Central Government,2018-03-04,2022-04-02,0.000000244802414486921529
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ocds-0c46vo-0001-f20e0bab-be23-4cb3-b577-c824e7eb3e9b,NHS,2018-03-05,2023-03-03,0.01100001205479452055
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-399d9987-f399-4754-a2a7-5cfd5cfcf8cb,NHS,2018-03-07,2023-03-06,0.05684891224534501639
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-a2e553e6-fef5-427c-90d4-dc0ebe02006d,Central Government,2018-03-09,2028-03-09,0.63324314629967159256
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-c77da85c-7a37-4687-ba7a-20ef5382a1ec,NHS,2018-03-13,2025-03-12,0.02329548081540868204
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-fc855458-7e27-460e-9592-f2bcffee9aa4,Central Government,2018-03-14,2023-03-13,0.08328778751369112809
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN. NHS FOUNDATION TRUST",ocds-0c46vo-0001-002c91c6-0c64-4127-97fb-6d88d8e3ac19,NHS,2018-03-15,2026-03-14,0.01470375755790554415
"THE QUEEN ELIZABETH HOSPITAL, KINGS LYNN, NHS FOUNDATION TRUST",ocds-0c46vo-0001-002c91c6-0c64-4127-97fb-6d88d8e3ac19,NHS,2018-03-15,2026-03-14,0.01470375755790554415
