buyer_name_clean,ocid,start_date,end_date,co2_pm
SUFFOLK SOURCING,ocds-0c46vo-0001-9d6ebfe3-e8dc-44bf-a7c9-bd411bc39a5b,2018-02-19,2022-09-25,2.1565491242084813
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-94295b5f-32ab-41ad-ad6f-f362a6f9894f,2018-02-19,2021-09-30,1.3559529643669446
DERBY CITY COUNCIL,ocds-0c46vo-0001-913af2d4-3a33-4e1b-8bf9-258ff6f07547,2018-02-26,2022-07-31,0.7974764543913861
TRANSPORT FOR LONDON,ocds-0c46vo-0001-7e7abfc2-75ee-4066-9be7-aa441e44faad,2018-02-26,2022-03-31,82.9435313253012
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-11b78d22-0305-4d2d-ac34-4f8507325ae6,2018-02-26,2022-02-18,8.920001860674466
DERBY CITY COUNCIL,ocds-0c46vo-0001-b497f712-3fad-49ce-9494-81bdd78e7018,2018-02-26,2021-07-31,3.1832608326258995
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-669ee276-cbbb-4a6f-9ad4-dc9bdc741916,2018-03-05,2023-03-04,8.986609848328769
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-d3fb3f0c-6c4a-448e-b0ac-bf3d38cec719,2018-03-12,2022-03-25,4.631245916580732
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-db53c48c-91e6-4286-acca-b519abe07a6f,2018-03-15,2021-07-30,0.9050263364963503
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-5ab48f22-ffe0-4f6a-ba31-56745978101e,2018-03-26,2022-07-22,3.187410491148828
NORTH DEVON DISTRICT COUNCIL,ocds-0c46vo-0001-f0fd3b12-e369-44c5-bdc8-46a10ef19172,2018-04-01,2022-03-31,53.76865475782192
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-4d344c9c-73ea-43fa-a3ea-cfb556fa23f6,2018-04-01,2021-08-31,8.738109576
SOUTH GLOUCESTERSHIRE COUNCIL,ocds-0c46vo-0001-133692c4-0719-4351-b90f-49dd0882c109,2018-04-01,2021-10-31,5.774293315508021
PLYMOUTH CITY COUNCIL,ocds-0c46vo-0001-6d9666b1-36f3-435c-a79b-abe74f580165,2018-04-01,2025-03-31,12.045298802816902
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-054adcd3-8332-45e6-ad5a-2e0b76b92e4f,2018-04-01,2023-04-07,7.181566167144105
DARLINGTON BOROUGH COUNCIL,ocds-0c46vo-0001-50477ae4-64a3-441a-af37-1d07cc2d2df4,2018-04-01,2022-03-31,93.95843630136987
NORTH YORKSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-1b60976d-34b0-417e-86b7-beff5e8e514d,2018-04-01,2022-03-31,34.02087061643836
WARWICKSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-836513ad-55e6-40c4-9e77-ed3f3b50edd0,2018-04-02,2022-03-31,31.154555355100754
NORTH WEST LEICESTERSHIRE DISTRICT COUNCIL,ocds-0c46vo-0001-ff853a42-bc39-420f-a76e-516c5b997f60,2018-04-02,2023-04-01,260.8336191780822
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-af98f4ce-215a-46f8-8311-8b9e7b0e674e,2018-04-09,2021-12-18,5.360278446547072
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-2ccc574f-978d-4de7-bfc8-b5f1bcfa59b9,2018-04-16,2021-08-31,0.9039695226861314
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-8340da9b-5625-4be8-b0ad-16127c2cb479,2018-04-16,2023-03-31,3.4330203367955803
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-f310dddf-46df-4c4d-8539-db0d00d98687,2018-04-16,2021-07-31,1.3731545830282863
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-5dfbbd95-99b0-4a48-bfef-314dd5e83c71,2018-04-16,2023-03-31,3.2184565657458566
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-0d724d7b-020c-4b3c-bc37-55d440729072,2018-04-16,2024-03-31,4.273993654411765
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-1fe83083-749b-4299-8004-1590c9a9117c,2018-04-16,2023-07-31,3.015220695652174
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-a334a258-4e24-4bd4-a3a6-b7b222c41161,2018-04-16,2023-03-31,3.0067160022099446
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-84dc992c-af0e-445b-a8fb-c64aff7d8b06,2018-04-16,2023-04-07,28.42704271040176
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-66064478-65e5-45e5-97a5-560705cf4080,2018-04-16,2022-03-25,31.774025474043086
EXETER CITY COUNCIL,ocds-0c46vo-0001-d88522c3-8edf-4351-9172-8df802c52c5c,2018-04-16,2023-03-31,11.878168777976521
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-d4f2c356-d642-44eb-92df-8c8b91c0c303,2018-04-16,2023-04-07,4.575043979068795
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-661bb856-a66d-4e2a-8109-7d8004c8baf9,2018-04-16,2023-03-31,3.3793793940331494
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-768fca4d-ae92-4887-a006-69d770c70c36,2018-04-23,2021-07-30,4.711840297658291
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-8f62cde6-1f27-4230-a9f5-832d94ccd408,2018-04-23,2023-07-31,1.5130925672727273
NORTH SOMERSET COUNCIL,ocds-0c46vo-0001-77b3bf96-a54e-4b87-8aff-191f0c8e3594,2018-04-24,2023-04-08,12.066798279122652
HOME OFFICE,ocds-0c46vo-0001-8e94f338-6049-48f7-8b82-9dea24af8857,2018-05-01,2028-04-30,3597.4793220526826
LIVERPOOL CITY COUNCIL,ocds-0c46vo-0001-018532cf-e78a-47e1-9e85-7ea523844bd2,2018-05-04,2021-07-31,1.4138833062162162
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-6557c250-daff-4454-83ef-7c094afa68f4,2018-05-08,2021-08-31,0.6307544484624277
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-e25fdaa7-d0e3-4b9f-99a1-06483cc9722b,2018-05-14,2021-08-31,1.1232470815767637
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-1e4eeec9-4876-40af-928c-a4e024cf3cdc,2018-05-14,2021-07-31,0.6746600238500852
HARROGATE BOROUGH COUNCIL,ocds-0c46vo-0001-ae83d9db-003f-427c-bccb-2fc7c3c320ab,2018-06-01,2022-05-31,1.4375015753424658
SHEFFIELD CITY COUNCIL,ocds-0c46vo-0001-2c97397f-43c7-42e1-9290-c0f03d0f775e,2018-06-01,2022-05-31,0.5250005753424658
LIVERPOOL CITY COUNCIL,ocds-0c46vo-0001-48925d80-c4ea-49d8-be6d-3a0b2797438f,2018-06-01,2022-05-31,5919.381486986302
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-060518fb-e4c6-4ac3-b78e-c5efcfb0c95c,2018-06-04,2022-07-31,0.8251172833543873
WARWICKSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-94b2ffc2-393f-4061-be44-8b541918b5bc,2018-06-04,2025-06-02,97.24828257334356
NORTH SOMERSET COUNCIL,ocds-0c46vo-0001-239d4518-103a-4a43-8af8-c2c39ae8096c,2018-06-04,2025-04-20,3.5378041557038213
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-45d70cc2-279e-4696-a788-be1d85d368fa,2018-06-04,2022-07-22,3.362376912095428
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-a46e7c5d-52c5-44b5-b8a2-64dc69611bcd,2018-06-05,2022-07-31,1.672794186526038
SUFFOLK SOURCING,ocds-0c46vo-0001-abe094c5-74c0-4e93-8783-424d4cc0a1cb,2018-06-06,2021-07-31,1.3968828514196352
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-c54f5d95-f700-4325-9e74-c04ae1d47e1f,2018-06-06,2024-07-31,1.376313034766355
SUFFOLK SOURCING,ocds-0c46vo-0001-1c7e66d8-20e6-44ef-8771-89042136a189,2018-06-11,2022-07-30,2.057538678675497
SOMERSET COUNTY COUNCIL,ocds-0c46vo-0001-64e9ff5f-6e77-4152-aa96-a7ed089b1faf,2018-06-16,2022-04-30,11.45466248231966
SUFFOLK SOURCING,ocds-0c46vo-0001-3b27f70c-f857-4411-8e4e-db5d85bcf9a7,2018-06-17,2023-03-04,12.570435623567693
LIVERPOOL CITY COUNCIL,ocds-0c46vo-0001-1038cd46-fc48-49b5-928f-ae70ae6de88b,2018-06-18,2021-07-30,1.5087538502636204
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-e395bf5c-89e6-4b17-a64c-12001d63afae,2018-06-18,2021-07-30,3.0583697839718806
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-c44add4b-c5be-4906-9938-85ccdfc1ff18,2018-06-18,2025-07-31,0.5041217063076923
SUFFOLK SOURCING,ocds-0c46vo-0001-905c27bb-0318-4cb4-966e-eca44575e24d,2018-06-19,2022-07-04,0.18722838946341464
SUFFOLK SOURCING,ocds-0c46vo-0001-aaca60be-8265-432f-832f-4bf8dccee109,2018-06-22,2022-07-31,0.6338042145792
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-c347aaae-69cc-47de-aac3-e32f38ea1e68,2018-06-25,2021-08-31,2.0195506654823734
DARLINGTON BOROUGH COUNCIL,ocds-0c46vo-0001-ccebf9c7-9600-45a6-a97d-57f062dcd9e0,2018-06-25,2023-10-01,0.09842742941787941
SUFFOLK SOURCING,ocds-0c46vo-0001-47fa20a7-b2d7-4a68-b1a2-c90cb5ff48a8,2018-06-26,2023-03-04,0.17042107461308414
SUFFOLK SOURCING,ocds-0c46vo-0001-56572e97-d076-443e-84d2-9eb05a6e4cb9,2018-06-27,2023-04-01,0.10887044708453134
TENDRING DISTRICT COUNCIL,ocds-0c46vo-0001-ce6ce700-de5d-4aaa-a294-40a1f51b25ec,2018-07-01,2023-06-30,0.270249962830685
SUFFOLK SOURCING,ocds-0c46vo-0001-fc0f540a-2f32-4756-92ff-0a7a050e7d41,2018-07-02,2023-02-04,0.39889714751656735
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-9d84032a-5c20-4b20-90aa-6019d724537b,2018-07-02,2022-07-29,3.681882663967742
WARWICKSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-2580ac5a-6e57-4b54-9d05-ec6df843e44d,2018-07-02,2022-03-31,61.0901543018421
SUFFOLK SOURCING,ocds-0c46vo-0001-65ac57bf-adea-4067-8f66-fc06458b87ad,2018-07-03,2023-03-04,0.43575010803237535
SUFFOLK SOURCING,ocds-0c46vo-0001-15b15e55-fd29-4cfa-adaa-f9497b86f214,2018-07-05,2023-02-04,0.15257897079173732
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-81cd21a8-6425-4b4c-a82d-e6ba70a03f4c,2018-07-05,2023-07-31,1.7658766652267817
SUFFOLK SOURCING,ocds-0c46vo-0001-19b7098f-a708-410c-83e2-77521e50f4aa,2018-07-09,2022-07-31,0.36662481175994605
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-25ee4eee-8ef4-434e-895d-b4e11c1c5a17,2018-07-13,2022-07-29,12.54554810872038
SUFFOLK SOURCING,ocds-0c46vo-0001-e2cef94f-93c7-4d5f-9744-7d4bd9f89d81,2018-07-18,2023-05-06,0.14400129871078154
SUFFOLK SOURCING,ocds-0c46vo-0001-dda7b00b-acc0-4ec7-94b6-d8a18a0e6e31,2018-07-20,2022-03-05,0.5775541374670694
BUCKINGHAMSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-a39940d5-8235-4930-befe-b58d53cf6611,2018-07-26,2021-12-31,0.30562234449760767
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-f3b401a9-dc6f-4764-af44-0ef61c764b16,2018-07-29,2023-07-29,13.486145158839037
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-5cbdf6f4-9e6f-4329-b58d-b6f4f6739944,2018-07-29,2023-07-29,9.163701261733209
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-1078b2f0-4e30-4d1b-a66c-f1d8024891f5,2018-07-30,2023-09-02,0.6472673760000001
TRANSPORT FOR GREATER MANCHESTER,ocds-0c46vo-0001-cae646a3-c8e7-4c6d-8caa-1d0f7024d7c6,2018-08-01,2023-07-31,1.9855381759298631
SHEFFIELD CITY COUNCIL,ocds-0c46vo-0001-5123cc97-1a07-413b-ab69-a3460a041785,2018-08-01,2022-07-31,5.9166731506849315
TAMESIDE METROPOLITAN BOROUGH COUNCIL,ocds-0c46vo-0001-25a2b932-0f2e-427a-9f07-5bd7021d4f15,2018-08-01,2023-07-31,2.916461529452055
WELLAND PROCUREMENT,ocds-0c46vo-0001-0d968e9a-79e2-4c77-adc7-bf0197129407,2018-08-01,2025-07-31,136.85134976525822
TRANSPORT FOR GREATER MANCHESTER,ocds-0c46vo-0001-11c3cd03-f722-4835-b2b9-a2003ab295e7,2018-08-01,2023-07-31,2.667058922801096
SHEFFIELD CITY COUNCIL,ocds-0c46vo-0001-d75c0d34-855a-42bf-b27e-56f95db7ad93,2018-08-01,2022-07-31,1.9525021397260276
SUFFOLK SOURCING,ocds-0c46vo-0001-5cdd4b09-bae5-4762-9d04-e4baaa1a2fd7,2018-08-09,2023-05-06,0.15312304475563257
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-4c928e75-51f1-492a-bef7-620d171dcf5b,2018-08-19,2023-08-19,5.730566247207009
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-b77d415f-da13-4bec-b1b6-b54d8634801b,2018-08-19,2023-08-19,3.304792158652114
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-b1eefa9d-8928-41a4-b0f5-3342c18266c1,2018-08-19,2023-08-19,1.6033293214196056
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-05915a9a-9c5b-4482-9d24-b91e9e5e339c,2018-08-27,2022-07-29,33.039183693318435
BUCKINGHAMSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-325d1c07-ff69-4ddb-8456-eb45ff1e09df,2018-08-28,2021-08-28,0.13987241605839415
SUFFOLK SOURCING,ocds-0c46vo-0001-cc3da7c2-3c0d-4069-9e53-9a4cfd8278e6,2018-08-29,2023-02-04,0.10251554444444444
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-efa0eb60-01d0-4998-92e0-a1908f0b86f7,2018-09-01,2021-08-31,2.8355631074630137
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-05b8b65a-283d-4285-b32f-7a672c00604b,2018-09-01,2021-08-31,2.6833362739726025
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-95733ae3-5d6e-4318-a957-f6afccce1e8e,2018-09-01,2021-08-31,2.3940026235616436
SUFFOLK SOURCING,ocds-0c46vo-0001-d7985cc1-f60b-402f-9d19-0e2ec970fd6c,2018-09-01,2022-07-31,0.7663935620657804
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-56bc3b7e-83c1-4ebd-9e3e-1e2aa403371e,2018-09-01,2021-08-31,3.266670246575342
SUFFOLK SOURCING,ocds-0c46vo-0001-e92a0172-2ab0-4315-b5e5-0c6538aa24fa,2018-09-01,2021-07-31,2.27212749
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-c42385fe-bfe2-46e0-a6c2-40dbcdc0b7d6,2018-09-01,2021-08-31,2.2166690958904107
DERBY CITY COUNCIL,ocds-0c46vo-0001-bb0e18ee-0a21-4ec0-838d-9a927986be34,2018-09-01,2023-07-31,2.59578599965485
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-691ed22c-3428-4369-b187-93ef157cdc54,2018-09-01,2021-08-31,35.46670553424657
SUFFOLK SOURCING,ocds-0c46vo-0001-dd34069b-aea0-4fc8-b82f-8d7a15b5c249,2018-09-01,2022-07-31,2.364405670202939
TRANSPORT FOR GREATER MANCHESTER,ocds-0c46vo-0001-3f46f5b9-9e06-4fcf-b58f-a28ac229b1cc,2018-09-01,2023-07-28,38.90092336812061
SUFFOLK SOURCING,ocds-0c46vo-0001-145a2633-b316-4789-b329-452943d3a59a,2018-09-01,2022-07-31,2.5002910535479357
SUFFOLK SOURCING,ocds-0c46vo-0001-f2d664f1-134f-4cd5-b56a-daafe610e7aa,2018-09-01,2022-07-31,1.7106610909301612
TRANSPORT FOR GREATER MANCHESTER,ocds-0c46vo-0001-02eb4275-0d7f-403d-867d-9988e6446127,2018-09-01,2021-08-30,304.22623276981807
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-73e295be-dc29-4732-94df-aad9178f97b4,2018-09-01,2021-08-31,2.039335568219178
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-0bb32750-f71c-4eb1-912e-6035abec6e3d,2018-09-01,2021-08-31,2.9866699397260272
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-799fb7f4-aa4c-4661-8aa4-3df4669d6dac,2018-09-01,2021-08-31,22.67741151859726
BARNSLEY METROPOLITAN BOROUGH COUNCIL,ocds-0c46vo-0001-fec665b8-a8b8-4312-a56f-04eef71b9f16,2018-09-01,2022-08-31,1.387341520372603
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-d276a9d9-2393-4a13-bb75-3bce6b2f1776,2018-09-01,2021-08-31,0.6384006996164383
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-9dfdc3d5-d732-42c7-b394-2d26ed7a5885,2018-09-01,2021-08-31,2.0038688626849313
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-32943402-5048-4252-9f06-25124af5cdf4,2018-09-01,2021-08-31,1.7290018947945205
SUFFOLK SOURCING,ocds-0c46vo-0001-2761f83a-4cd2-4949-b804-4a8ca46f7aae,2018-09-01,2023-07-31,0.5006039488294315
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-1a74ff50-8a65-438b-ad5c-533b17ce5e1e,2018-09-01,2021-08-31,1.392068192219178
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-3f82b9c7-2ae6-49e8-93b8-88f1a770ad48,2018-09-01,2021-08-31,2.7486696789041094
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-a5b3ef55-91ce-454f-a7a2-ef476960d9e2,2018-09-01,2021-08-31,1.1526679298630136
SURREY COUNTY COUNCIL,ocds-0c46vo-0001-68105e61-8970-4a05-a597-c7b072882fdf,2018-09-01,2021-07-31,1.3140014399999997
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-53bc8a4d-bcb7-4af2-9336-937f1a748b45,2018-09-01,2021-08-31,2.6833362739726025
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-f0dae9a8-42ad-41e5-be25-913025e07748,2018-09-01,2022-07-31,0.9002006142318265
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-fe8d7de1-c77f-477d-9ee6-16a144552db9,2018-09-01,2021-08-31,2.8272284316624656
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-683e1151-d6bb-4a76-a27e-f968b39284d4,2018-09-01,2021-08-31,2.1723357139726023
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-4bc7b361-e93c-4f53-8772-476aff12d5d2,2018-09-01,2021-08-31,2.837336442739726
SUFFOLK SOURCING,ocds-0c46vo-0001-01fcb036-fbaa-4a34-9670-cf0dd8ff9a9f,2018-09-01,2023-07-31,5.513408355351171
SUFFOLK SOURCING,ocds-0c46vo-0001-c5ebfd9f-2ae5-4d7b-b513-88ec2a03d5e7,2018-09-01,2023-07-31,2.69243745451505
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-574737da-c907-40b1-9e94-8c34db34e0c7,2018-09-01,2021-08-31,1.0640011660273971
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-070a4028-8b0b-4fe7-9e93-9274ca57510d,2018-09-01,2023-07-31,22.225327046016723
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-74841fdf-6715-44a4-aa13-ecb2b95bcef5,2018-09-01,2021-08-31,2.039335568219178
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-f3365912-5277-4959-9f43-9164f5431ec7,2018-09-01,2021-08-31,0.9576010494246574
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-f7e245c5-cb2a-4531-8ad8-3d8442cc00f1,2018-09-01,2021-08-31,1.489601632438356
SUFFOLK SOURCING,ocds-0c46vo-0001-1b1a6d6c-3701-4e7d-80ab-de8fd33efd08,2018-09-01,2022-07-31,0.6794269167249826
SUFFOLK SOURCING,ocds-0c46vo-0001-57333e9f-a82d-4d77-bf7c-703fd63a495e,2018-09-01,2021-07-31,1.5740642249999999
DERBY CITY COUNCIL,ocds-0c46vo-0001-0f55f66b-3e22-4982-b9d7-1653e64c9179,2018-09-01,2023-07-31,0.4917770835262877
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-b658f1cf-7070-4ee9-815e-0a229e14c2da,2018-09-01,2021-08-31,7.625341689863013
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-48a361b9-7880-4e5f-b91d-9d0b6d62eb21,2018-09-01,2021-08-31,0.6720007364383561
SUFFOLK SOURCING,ocds-0c46vo-0001-feb15025-4bb0-4872-b2ff-7bf8070b2f4f,2018-09-01,2022-07-31,2.9826841644226736
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-e752a1f7-d8f4-429c-b20f-14313b9ae04a,2018-09-01,2023-07-31,14.207040374247493
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-28ce34cc-6fd8-4228-b320-f6c31a6a3907,2018-09-01,2021-08-31,1.8442686877808219
CUMBRIA COUNTY COUNCIL,ocds-0c46vo-0001-367ccf56-4837-44af-abda-4781cea7acca,2018-09-01,2021-08-31,2.1280023320547943
